title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
The Tea Chest,"February 4, 2020",Heidi Chiavaroli,Historical Fiction,4.19,"1,298",464,1203,English,149,"2,265"
The Plus: Self-Help for People Who Hate Self-Help,"July 28, 2020",Greg Gutfeld,Nonfiction,4,"1,044",222,1203,English,849,749
A Most English Princess: A Novel of Queen Victoria's Daughter,"September 22, 2020",Clare McHugh,Historical Fiction,3.71,"1,940",470,1203,English,474,"8,477"
De Academie,"October 15, 2020",Astrid Boonstoppel,Young Adult,3.38,745,245,1203,Dutch; Flemish,15,446
"Speaking for Myself: Faith, Freedom, and the Fight of Our Lives Inside the Trump White House","September 8, 2020",Sarah Huckabee Sanders,Politics,4.41,"3,164",288,1203,English,965,"1,829"
On Harrow Hill,"November 19, 2020",John Verdon,Thriller,3.97,"3,057",400,1203,English,232,"3,988"
The Fall,"November 1, 2020",Ryan Cahill,Fantasy,4.15,"5,845",95,1203,,110,"8,118"
"Sons of the Waves: A History of the Common Sailor, 1740-1840","May 19, 2020",Stephen Taylor,History,4.12,150,490,1212,English,36,336
The Solid Grounds Coffee Company,"February 4, 2020",Carla Laureano,Christian Fiction,4.11,"1,342",432,1212,English,110,918
Saving Ruby King,"June 16, 2020",Catherine Adel West,Fiction,3.9,"5,707",352,1212,,392,16k
The Safe Place,"July 14, 2020",Anna Downes,Thriller,3.65,"18,363",352,1212,English,"1,096",27.7k
Love in Lockdown,"June 2, 2020",Angel Devlin,Anthologies,4.06,784,686,1212,English,572,"1,854"
Marriage on Madison Avenue,"January 28, 2020",Lauren Layne,Romance,3.79,"11,471",285,1212,English,828,13.3k
De diamant van Banjarmasin,"September 1, 2020",Arend van Dam,History,3.18,211,96,1212,Dutch; Flemish,7,50
The Great Gatsby: The Graphic Novel,"June 30, 2020",Fred Fordham,Graphic Novels,3.75,"2,932",176,1212,English,106,"5,304"
"Skip Beat!, Vol. 45","May 20, 2020",Yoshiki Nakamura,Manga,4.61,849,168,1212,English,32,286
"We Thought We Knew You: A Terrifying True Story of Secrets, Betrayal, Deception, and Murder","December 29, 2020",M. William Phelps,True Crime,4.09,"3,275",336,1212,English,"1,163","6,958"
V2: A novel of World War II,"November 17, 2020",Robert Harris,Historical Fiction,3.91,"14,293",320,1212,English,"1,459","4,636"
女神自助餐,"April 1, 2020",劉芷妤,Fiction,4.22,113,320,1212,Chinese,9,69
Jock Blocked,"May 19, 2020",Pippa Grant,Romance,4.26,"10,162",337,1212,English,"3,848","8,232"
Reborn Yesterday,"March 16, 2020",Tessa Bailey,Romance,3.58,"6,952",385,1212,English,709,"9,907"
Name Drop: The Really Good Celebrity Stories I Usually Only Tell at Happy Hour,"February 4, 2020",Ross Mathews,Nonfiction,3.83,"2,058",240,1226,English,116,"1,260"
Annihilation Aria,"July 21, 2020",Michael R. Underwood,Science Fiction,3.65,240,400,1226,English,79,699
Leon & Juliette,"March 7, 2020",Annejet van der Zijl,Nonfiction,3.52,"3,504",95,1226,Dutch; Flemish,33,"1,521"
Butterfly,"January 7, 2020",Ashley Antoinette,Romance,4.49,"4,524",304,1226,English,"1,259","6,399"
New Waves,"March 10, 2020",Kevin Nguyen,Fiction,3.49,"2,532",320,1226,English,168,"8,214"
V Is for Voting,"July 21, 2020",Kate Farrell,Picture Books,4.16,342,40,1226,English,8,155
Losing It All,"April 28, 2020",Kati Wilde,Romance,4.33,727,,1226,,204,"1,008"
The Water Keeper,"May 5, 2020",Charles Martin,Fiction,4.27,"36,650",352,1226,English,"6,727",40.1k
Age of Empyre,"May 5, 2020",Michael J. Sullivan,Fantasy,4.39,"11,014",395,1226,English,999,13.6k
My Favorite Souvenir,"April 27, 2020",Penelope Ward,Romance,4.2,"14,966",300,1226,English,"2,564",14k
Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation,"September 15, 2020",Candace Owens,Nonfiction,4.41,"14,228",240,1226,English,"3,799",14.8k
The Taming of a Highlander,"December 8, 2020",Elisa Braden,Historical Romance,4.2,"3,041",404,1226,English,291,"2,007"
Is This Anything?,"October 6, 2020",Jerry Seinfeld,Nonfiction,3.72,"23,824",480,1226,English,"3,660",23.3k
The Secret Life of Groceries: The Dark Miracle of the American Supermarket,"September 8, 2020",Benjamin Lorr,Nonfiction,3.94,"13,189",328,1226,English,"2,128",24.9k
Deck the Boss,"November 29, 2020",Stella Andrews,Christmas,4.23,376,137,1226,English,116,71
Hour of the Assassin,"March 31, 2020",Matthew Quirk,Thriller,3.77,"6,514",336,1241,English,670,"5,957"
The Last Blue,"May 5, 2020",Isla Morley,Historical Fiction,4.32,"1,951",336,1241,English,220,"4,512"
The Joy of Falling,"April 1, 2020",Lindsay Harrel,Christian Fiction,4.01,786,336,1241,English,62,3144
By the Book,"May 12, 2020",Amanda Sellet,Romance,3.5,"8,539",384,1241,English,494,23.6k
Ink & Sigil,"August 25, 2020",Kevin Hearne,Fantasy,4.15,"9,382",336,1241,English,"1,064",29.8k
Camino Winds,"April 28, 2020",John Grisham,Fiction,3.81,"81,958",304,1241,English,16.5k,30.4k
The Brightest Night,"October 20, 2020",Jennifer L. Armentrout,Fantasy,4.29,"9,885",512,1241,English,806,12k
Daddy: Stories,"June 29, 2021",Emma Cline,Short Stories,3.3,"11,463",267,1241,English,972,26.7k
"Disfigured: On Fairy Tales, Disability, and Making Space","February 11, 2020",Amanda Leduc,Nonfiction,4.08,"5,444",253,1241,English,331,20.9k
Rules of Engagement,"January 28, 2020",J.T. Geissinger,Romance,4.07,"9,370",290,1241,English,"1,583","6,385"
Mathilde,"March 5, 2020",Leïla Slimani,Fiction,3.77,"14,862",356,1241,Dutch; Flemish,"1,123",21.3k
The Boatman and Other Stories,"January 9, 2020",Billy O'Callaghan,Short Stories,4.24,193,242,1252,English,20,450
All Your Twisted Secrets,"March 17, 2020",Diana Urban,Mystery,3.51,"21,625",400,1252,English,872,49k
What's Left of Me Is Yours,"January 1, 2020",Stephanie Scott,Fiction,3.74,"3,059",352,1252,English,379,15.4k
I Will Dance,"January 1, 2020",Nancy Bo Flood,Picture Books,4.36,521,48,1252,English,3,268
Keeper,"January 9, 2020",Hope Ford,Romance,4.26,"1,053",46,1252,English,413,217
A Sprinkling of Murder,"June 30, 2020",Daryl Wood Gerber,Cozy Mystery,3.84,"1,410",354,1252,English,315,"3,980"
The Golden Thread: The Cold War Mystery Surrounding the Death of Dag Hammarskjöld,"July 7, 2020",Ravi Somaiya,Nonfiction,3.7,622,304,1252,English,80,"1,566"
No Filter: The Inside Story of Instagram,"April 14, 2020",Sarah Frier,Business,4.11,"10,417",352,1252,English,"1,358",25.4k
Immortal Angel,"September 29, 2020",Lynsay Sands,Paranormal,4.25,"4,331",359,1252,English,976,"3,388"
A Game of Fate,"September 18, 2020",Scarlett St. Clair,Romance,4,"81,562",379,1252,English,"8,085",93.2k
A Kind of Spark,"June 4, 2020",Elle McNicoll,Middle Grade,4.51,"9,110",193,1252,English,275,10.3k
After Trump: Reconstructing the Presidency,"January 1, 2020",Bob Bauer,Politics,3.8,125,422,1252,English,351,570
How to Date a Younger Man,"July 20, 2020",Kendall Ryan,Romance,3.87,"2,315",336,1252,English,585,"2,714"
A Love Hate Thing,"January 7, 2020",Whitney D. Grandison,Romance,3.4,"3,292",464,1265,English,275,"9,735"
These Women,"May 19, 2020",Ivy Pochoda,Fiction,3.79,"7,285",352,1265,English,"1,140",20.1k
Smoky,"January 1, 2020",Hope Ford,Romance,4.16,"1,157",45,1265,English,568,204
The Order,"July 14, 2020",Daniel Silva,Fiction,4.17,"29,748",462,1265,English,11.9k,"6,454"
Operation Vengeance: The Astonishing Aerial Ambush That Changed World War II,"August 11, 2020",Dan Hampton,History,4.23,483,400,1265,English,240,"1,614"
Borges and Me,"August 18, 2020",Jay Parini,Memoir,4.13,"1,021",320,1265,English,119,"1,796"
The Selected Works of Audre Lorde,"September 8, 2020",Audre Lorde,Poetry,4.63,"1,781",367,1265,English,725,10.1k
"Diners, Dudes, and Diets: How Gender and Power Collide in Food Media and Culture","November 16, 2020",Emily J.H. Contois,Nonfiction,3.79,170,208,1265,English,29,"1,898"
"Mountain Road, Late at Night","January 1, 2020",Alan Rossi,Audiobook,3.64,131,192,1273,English,6,294
What Unbreakable Looks Like,"June 23, 2020",Kate McLaughlin,Young Adult,4.31,"1,342",327,1273,English,44,"6,833"
Thick as Thieves,"August 25, 2020",Sandra Brown,Mystery,4,"27,060",384,1273,English,"5,186",29.5k
What the Heart Wants,"July 28, 2020",Audrey Carlan,Romance,3.74,"1,355",352,1273,English,228,"4,505"
Almost Just Friends,"January 21, 2020",Jill Shalvis,Romance,3.95,"9,397",384,1273,English,"1,480",10.1k
While We Can't Hug: Mini Gift Edition: 1,"August 6, 2020",Eoin McLaughlin,Picture Books,4.33,761,32,1273,English,28,318
Wild Highway,"June 23, 2020",Devney Perry,Romance,4.26,"9,102",266,1273,English,"1,142","7,188"
Court of Bitter Thorn,"January 1, 2020",Kay L. Moody,Fantasy,3.72,"2,195",354,1273,English,631,"9,033"
The Nine Lives of Pakistan: Dispatches from a Precarious State,"September 29, 2020",Declan Walsh,Nonfiction,4.16,"2,052",352,1273,English,348,"4,033"
A History of My Brief Body,"May 19, 2020",Billy-Ray Belcourt,Nonfiction,4.19,"5,112",142,1273,English,430,19.4k
The Last Odyssey,"March 24, 2020",James Rollins,Thriller,4.19,"10,763",576,1273,English,"3,361","9,089"
Of Saints and Miracles,"February 26, 2020",Manuel Astur,Fiction,3.94,352,208,1273,English,16,872
An Elderly Lady Must Not Be Crossed,"October 8, 2020",Helene Tursten,Mystery,3.87,"11,567",261,1273,English,464,10.3k
What I'd Rather Not Think About,"May 26, 2020",Jente Posthuma,Fiction,3.76,"4,125",224,1273,English,220,11.1k
Armageddon House,"May 12, 2020",Michael Griffin,Horror,3.36,229,124,1287,English,15,457
The Better Liar,"January 14, 2020",Tanen Jones,Thriller,3.46,"9,379",306,1287,English,754,29.9k
Heartbreak You,"August 25, 2020",T.L. Smith,Romance,3.9,"1,611",314,1287,English,130,"1,184"
Masked Prey,"April 14, 2020",John Sandford,Mystery,4.16,"23,856",416,1287,English,"7,337","4,286"
The Traitor,"February 25, 2020",V.S. Alexander,Historical Fiction,4.1,"2,181",304,1287,English,474,"8,649"
Shakespeare in a Divided America: What His Plays Tell Us about Our Past and Future,"March 10, 2020",James Shapiro,Nonfiction,4.1,"3,061",286,1287,English,671,"7,492"
Another Gospel?: A Lifelong Christian Seeks Truth in Response to Progressive Christianity,"October 1, 2020",Alisa Childers,Christian,4.56,"5,872",288,1287,English,899,"6,420"
Vesper Flights,"August 25, 2020",Helen Macdonald,,4.1,"7,762",304,1287,English,"1,470",21.6k
Heartbreak Me,"July 13, 2020",T.L. Smith,Romance,3.79,"2,119",312,1295,English,280,"6,062"
The Exiles,"August 25, 2020",Christina Baker Kline,Historical Fiction,4.15,"58,777",380,1295,,"4,994",67.7k
The Anti-Boyfriend,"August 31, 2020",Penelope Ward,Romance,3.87,"14,872",282,1295,English,"1,570",13.8k
Azaria: a true history,"June 1, 2020",Maree Coote,Nonfiction,4.57,77,44,1295,English,69,
Tightrope: Americans Reaching for Hope,"January 14, 2020",Nicholas D. Kristof,Nonfiction,4.27,"8,758",304,1295,English,"1,381",18.8k
Mother for Dinner,"September 22, 2020",Shalom Auslander,Fiction,3.67,"2,123",272,1295,English,139,"3,729"
Modern Comfort Food: A Barefoot Contessa Cookbook,"September 1, 2020",Ina Garten,Cookbooks,3.95,"8,818",256,1295,English,"1,399",28.8k
Empire City,"April 28, 2020",Matt Gallagher,Fiction,3.69,154,368,1302,English,24,"1,315"
The Lives of Edie Pritchard,"July 21, 2020",Larry Watson,Fiction,3.58,915,360,1302,English,184,"3,580"
Jackal,"August 27, 2020",Frankie Love,Contemporary,4.25,483,84,1302,English,222,201
An Embarrassment of Witches,"March 3, 2020",Sophie Goldstein,Graphic Novels,3.39,"1,407",204,1302,English,12,"1,940"
Engagement and Espionage,"July 14, 2020",Penny Reid,Romance,4.19,"8,073",351,1302,English,881,10.7k
Salt River,"February 11, 2020",Randy Wayne White,Mystery,4.06,"2,561",368,1302,English,733,547
"Defund Fear: Safety Without Policing, Prisons, and Punishment","February 4, 2020",Zach Norris,Nonfiction,4.24,444,207,1302,English,90,"2,032"
The Boy Who Cried Christmas,"October 21, 2020",Dennis Bailey,Christmas,4.56,775,229,1302,English,218,242
"A Short History of Russia: How the World's Largest Country Invented Itself, from the Pagans to Putin","April 1, 2020",Mark Galeotti,History,3.87,"3,824",224,1302,English,568,"4,569"
The Queen's Bargain,"March 10, 2020",Anne Bishop,Fantasy,4.19,"4,330",414,1311,English,434,"6,827"
Ryder,"January 1, 2020",Hope Ford,,4.56,9,,1311,English,2,130
Pew,"July 21, 2020",Catherine Lacey,Fiction,3.7,"11,755",224,1311,English,526,32.7k
The Girl from Widow Hills,"June 23, 2020",Megan Miranda,Thriller,3.7,"59,623",325,1311,English,"4,188",67.3k
Notorious,"November 14, 2020",Minerva Spencer,Romance,3.46,"7,356",352,1311,English,"1,217",10.5k
A Song for the Dark Times,"October 1, 2020",Ian Rankin,Mystery,4.13,"19,645",328,1311,English,"2,598","5,946"
An Island,"November 12, 2020",Karen Jennings,Fiction,3.55,"3,814",185,1311,English,435,11.7k
Saint Joan of New York: A Novel About God and String Theory,"January 2, 2020",Mark Alpert,,3.46,24,242,1318,English,5,60
The Gift: 12 Lessons to Save Your Life,"September 15, 2020",Edith Eger,Nonfiction,4.44,"17,342",256,1318,English,"2,841",31.2k
Dying to Meet Jesus: How Encountering Heaven Changed My Life,"January 7, 2020",Randy Kay,Christian,4.36,201,176,1318,English,176,853
Second Sight,"January 28, 2020",Sharon Sala,Fiction,4.46,"1,326",376,1318,English,121,433
The Silver Bone,"January 1, 2020",Andrey Kurkov,Mystery,3.44,"1,715",304,1318,English,397,"9,187"
Above the Bay of Angels,"February 11, 2020",Rhys Bowen,,4.2,"30,466",323,1323,English,"8,520",12.3k
"The Old Guard, vol. 2: Force Multiplied","September 16, 2020",Greg Rucka,Graphic Novels,4.01,"3,486",128,1323,English,74,"1,954"
The Awakening,"November 24, 2020",Nora Roberts,Fantasy,4.19,"64,110",435,1323,English,10.8k,60.4k
The Truest Thing,"August 18, 2020",Samantha Young,Romance,4.05,"3,813",392,1323,English,221,"2,435"
Candace Owens: An Unauthorized Biography of the Conservative Thinker and Founder of Blexit,"March 10, 2020",Richard West,Biography,4.49,150,114,1323,English,119,265
Trio,"October 8, 2020",William Boyd,Fiction,3.6,"6,524",312,1323,English,578,"5,992"
Slippery Creatures,"May 13, 2020",K.J. Charles,Romance,4.04,"12,608",264,1323,English,608,18.7k
Devil's Note,"April 5, 2020",Rob Bliss,,3.46,13,175,1330,English,3,31
The Museum of Forgotten Memories,"May 14, 2020",Anstey Harris,Fiction,3.85,"3,200",336,1330,English,259,"7,933"
Bombshell,"May 26, 2020",Stuart Woods,Mystery,4.12,"4,262",319,1330,English,"1,831",648
A Touch of Stone and Snow,"July 21, 2020",Milla Vane,Fantasy,4.01,"2,483",398,1330,English,310,"3,424"
The Wreck,"September 1, 2020",Meg Keneally,Historical Fiction,3.55,403,384,1330,English,16,318
"The Feminist and the Sex Offender: Confronting Harm, Ending State Violence","April 23, 2020",Judith Levine,Nonfiction,3.71,332,213,1330,English,59,"2,373"
"Don't Overthink It: Make Easier Decisions, Stop Second-Guessing, and Bring More Joy to Your Life","March 3, 2020",Anne Bogel,Nonfiction,3.88,"15,404",217,1330,English,"1,878",63.1k
Still Born,"September 1, 2020",Guadalupe Nettel,Fiction,4.13,"19,314",224,1330,English,471,42k
In the Waves: My Quest to Solve the Mystery of a Civil War Submarine,"April 7, 2020",Rachel Lance,History,4.19,608,365,1338,English,119,"2,120"
Wrath,"June 19, 2020",Dani Wyatt,Romance,4.14,647,111,1338,English,379,225
The Camelot Betrayal,"November 10, 2020",Kiersten White,Fantasy,3.88,"6,955",370,1338,English,266,16.4k
Beyond Woke,"May 18, 2020",Michael Rectenwald,Politics,4.29,56,182,1338,English,107,249
Slow Down,"January 1, 2020",Rachel Williams,Nature,4.56,486,128,1338,English,75,"1,084"
Kibogo,"March 12, 2020",Scholastique Mukasonga,Fiction,3.79,791,152,1338,English,48,"1,922"
Florence Adler Swims Forever,"July 7, 2020",Rachel Beanland,Historical Fiction,3.88,"23,436",309,1344,English,"3,110",37.7k
Gage,"June 12, 2020",Hope Ford,Romance,4.25,699,82,1344,English,340,208
Fire Cannot Kill a Dragon: Game of Thrones and the Official Untold Story of the Epic Series,"October 6, 2020",James Hibberd,Nonfiction,4.1,"1,537",452,1344,English,211,"1,195"
Trixie and Katya's Guide to Modern Womanhood,"July 14, 2020",Trixie Mattel,Nonfiction,4.01,"8,437",208,1344,English,548,"8,455"
Alpha Night,"June 9, 2020",Nalini Singh,Romance,4.32,"10,460",368,1344,English,767,"4,185"
"Undercover Epicenter Nurse: How Fraud, Negligence, and Greed Led to Unnecessary Deaths at Elmhurst Hospital","August 18, 2020",Erin Marie Olszewski,Nonfiction,4.18,274,248,1344,English,93,388
Diary of a Void,"January 1, 2020",Emi Yagi,Fiction,3.5,"23,651",213,1344,English,"1,010",55.5k
War of the Maps,"March 19, 2020",Paul McAuley,Science Fiction,3.65,788,432,1351,English,146,"1,459"
Saint,"April 28, 2020",Hope Ford,Romance,4.31,725,120,1351,English,315,258
Always Only You,"August 4, 2020",Chloe Liese,Romance,3.95,"45,753",355,1351,English,"1,426",66.7k
The Case Against Masks: Ten Reasons Why Mask Use Should be Limited,"July 20, 2020",Judy A. Mikovits,Health,4.4,194,96,1351,English,149,330
Psychostasis,"March 31, 2020",Ezra Blake,Horror,4.05,82,375,1355,English,23,209
Chain,"April 14, 2020",Dani Wyatt,Romance,4.1,944,79,1355,English,579,302
Near Dark,"June 20, 2020",Brad Thor,Thriller,4.25,"15,057",349,1355,English,"5,930","5,249"
Lovewrecked,"April 23, 2020",Karina Halle,Romance,3.88,"5,740",299,1355,English,"2,192","4,154"
The Summer King Bundle: The Prince / The King / The Queen,"June 25, 2020",Jennifer L. Armentrout,Fantasy,4.42,"1,675",608,1355,English,462,"2,103"
This Time Tomorrow,"June 22, 2020",Tessa Bailey,Romance,3.91,"2,572",244,1355,English,295,"4,198"
"Cat Tale: The Wild, Weird Battle to Save the Florida Panther","January 21, 2020",Craig Pittman,Nonfiction,4.15,924,336,1355,English,74,"1,242"
Race of Aces: WWII's Elite Airmen and the Epic Battle to Become the Masters of the Sky,"January 14, 2020",John R. Bruning,History,4.3,980,522,1362,English,436,"2,724"
Echo Cycle,"March 10, 2020",Patrick Edwards,Science Fiction,3.74,70,336,1362,English,5,144
Ranger,"April 7, 2020",Frankie Love,Romance,4.1,"1,313",108,1362,English,674,525
Happily Letter After,"October 20, 2020",Vi Keeland,Romance,4.14,"29,019",299,1362,English,"4,247",23.4k
The Shooting at Chateau Rock,"May 26, 2020",Martin Walker,Mystery,4.07,"5,421",320,1362,English,968,"2,255"
This Time Next Year,"August 1, 2020",Sophie Cousens,Romance,3.8,"96,590",352,1362,English,"4,891",100k
"Twilight of the Gods: War in the Western Pacific, 1944-1945","September 1, 2020",Ian W. Toll,History,4.76,"4,256",944,1362,English,"1,369","4,239"
Providence,"March 31, 2020",Max Barry,Science Fiction,3.86,"6,324",320,1369,English,562,10.9k
RomeAntically Challenged,"July 28, 2020",Marina Adair,Romance,3.78,"2,272",320,1369,English,360,10.1k
White Too Long: The Legacy of White Supremacy in American Christianity,"July 28, 2020",Robert P. Jones,Nonfiction,4.42,"2,446",306,1369,English,641,"7,573"
August: A Novel,"March 31, 2020",Callan Wink,Fiction,3.66,"1,336",304,1372,English,137,"5,950"
My Last Duchess,"October 27, 2020",Eloisa James,Historical Romance,3.93,"4,959",432,1372,English,"1,007","3,029"
Temporary,"March 3, 2020",Hilary Leichter,Fiction,3.74,"5,756",208,1372,English,548,22.6k
The Darkest Evening,"September 3, 2020",Ann Cleeves,Mystery,4.28,"22,076",384,1372,English,"3,703","7,875"
Velocities,"April 21, 2020",Kathe Koja,Horror,3.66,334,200,1372,English,37,"1,328"
Overdose: Heartbreak And Hope in Canada’s Opioid Crisis,"March 31, 2020",Benjamin Perrin,Nonfiction,4.31,585,304,1377,English,34,749
Star Daughter,"August 11, 2020",Shveta Thakrar,Fantasy,3.29,"8,175",435,1377,English,569,48.1k
Quarter Miles,"July 2, 2020",Devney Perry,Romance,4.14,"8,309",258,1377,English,913,"4,287"
Wandering Queen,"September 15, 2020",May Dawson,Reverse Harem,4.12,"3,000",402,1377,English,"2,558","2,105"
Shakespeare for Squirrels,"May 12, 2020",Christopher Moore,Humor,3.91,"8,481",288,1377,English,"1,288",26.6k
Mater 2-10,"June 1, 2020",Hwang Sok-yong,Fiction,3.69,525,486,1377,English,212,"3,539"
The Museum of Desire,"February 4, 2020",Jonathan Kellerman,Mystery,3.98,"13,708",368,1377,,"5,786","7,072"
Their Summer Intern,"July 18, 2020",Jessa Kane,Novella,3.53,"4,099",46,1384,English,950,"1,130"
Mistletoe in Paradise,"December 1, 2020",Jill Shalvis,Romance,3.69,"3,635",89,1384,English,425,"1,711"
Spellbreaker,"November 1, 2020",Charlie N. Holmberg,Fantasy,4.07,"35,233",327,1384,English,15k,47.5k
A Taste of Sage,"May 19, 2020",Yaffa S. Santos,Romance,2.97,"3,631",293,1384,English,252,"6,414"
A Conspiracy of Bones,"March 17, 2020",Kathy Reichs,Mystery,3.77,"15,461",342,1388,English,"3,333",22.4k
"All the F*cking Mistakes: A Guide to Sex, Love, and Life","January 21, 2020",Gigi Engle,Nonfiction,3.73,298,384,1388,English,95,"2,233"
The Cipher,"November 1, 2020",Isabella Maldonado,Thriller,4.19,"40,678",332,1388,English,14.8k,25.2k
Treason,"January 7, 2020",Stuart Woods,Mystery,3.83,"5,029",320,1388,English,"3,276","1,123"
Bright Precious Thing: A Memoir,"July 7, 2020",Gail Caldwell,Memoir,3.91,481,208,1392,English,38,"5,024"
Cursed Prince,"April 26, 2020",C.N. Crawford,Fantasy,3.85,"7,653",310,1392,English,"3,413",12.7k
Shadow and Light: A Journey into Advent,"September 1, 2020",Tsh Oxenreider,Christmas,4.38,"1,299",160,1392,English,387,"1,255"
The Sugared Game,"August 23, 2020",K.J. Charles,Romance,4.26,"8,040",288,1392,English,375,"3,200"
Power and the Presidency in Kenya: The Jomo Kenyatta Years,"January 31, 2020",Anais Angelo,Politics,4.33,3,327,1392,English,,37
The Boy in the Field,"August 11, 2020",Margot Livesey,Fiction,3.7,"8,643",257,1397,English,"1,072",13.5k
Upsy Daisy,"May 5, 2020",Chelsie Edwards,Romance,4.13,879,452,1397,English,189,"1,811"
Crossings,"July 28, 2020",Alex Landragin,Historical Fiction,3.85,"9,237",384,1397,English,"1,252",27k
Hit List,"March 17, 2020",Stuart Woods,Mystery,3.97,"6,815",333,1397,English,"1,110","1,113"
I Hope This Helps: Comics and Cures for 21st Century Panic,"October 6, 2020",Tommy Siegel,Graphic Novels,3.92,548,200,1401,English,17,270
Carpentry and Cocktails,"April 28, 2020",Nora Everly,Romance,4.04,"2,018",248,1401,English,335,"1,444"
Pride and Papercuts,"October 13, 2020",Staci Hart,Romance,3.6,"3,713",303,1401,English,400,"7,688"
The Beast,"April 6, 2020",Katee Robert,Romance,3.81,"19,370",284,1401,English,"1,017",32.6k
The Skylark's Secret,"September 29, 2020",Fiona Valpy,Historical Fiction,4.31,"29,164",315,1401,English,"7,441",16.3k
A Wealth of Pigeons: A Cartoon Collection,"November 17, 2020",Harry Bliss,Humor,3.86,"1,808",272,1401,English,22,"4,125"
Batter of Wits,"April 21, 2020",Karla Sorensen,Romance,3.99,"3,475",289,1407,English,833,"4,343"
The Darling Dahlias And The Voodoo Lily,"October 27, 2020",Susan Wittig Albert,Mystery,4.06,812,187,1407,English,119,212
Stealth: The Secret Contest to Invent Invisible Aircraft,"February 3, 2020",Peter Westwick,History,4.14,432,269,1407,English,137,580
Nothing Can Hurt You,"June 23, 2020",Nicola Maye Goldberg,Fiction,3.2,"3,341",240,1410,English,392,"8,969"
Been There Done That,"March 31, 2020",Hope Ellis,Romance,3.76,"1,678",398,1410,English,215,"6,628"
The Chiffon Trenches,"April 28, 2020",André Leon Talley,Fashion,3.83,"9,247",284,1410,English,"1,075",14.8k
The Pursuit of the Pankera: A Parallel Novel About Parallel Universes,"March 24, 2020",Robert A. Heinlein,Science Fiction,4,"1,438",503,1410,English,888,"1,788"
Choppy Water,"August 11, 2020",Stuart Woods,Mystery,3.84,"5,002",331,1414,English,"4,048","1,164"
He Started It,"July 21, 2020",Samantha Downing,Thriller,3.48,"20,466",384,1414,English,"1,077",35.7k
"Doesn't Hurt to Ask: Using the Power of Questions to Communicate, Connect, and Persuade","August 18, 2020",Trey Gowdy,Nonfiction,4.18,"1,510",263,1414,English,"1,103","2,227"
Beef Cake,"February 18, 2020",Jiffy Kate,Romance,3.9,"2,536",230,1417,English,524,"3,650"
Snow Drift,"November 14, 2018",Helene Tursten,,3.68,"2,409",257,1417,English,410,"3,340"
"It's Been a Pleasure, Noni Blake","September 29, 2020",Claire Christian,Romance,3.87,"6,230",368,1417,English,365,17.3k
"Clanlands: Whisky, Warfare, and a Scottish Adventure Like No Other","November 3, 2020",Sam Heughan,Nonfiction,4.05,"17,686",297,1417,English,"3,020",30.5k
Vanessa Yu's Magical Paris Tea Shop,"August 4, 2020",Roselle Lim,Romance,3.45,"6,961",320,1417,English,315,15.8k
The Treble With Men,"April 7, 2020",Piper Sheldon,Romance,4.06,"1,285",342,1417,English,195,"1,168"
Follow the Lady,"February 1, 2020",Seanan McGuire,Urban Fantasy,4.06,284,55,1423,English,146,
His Truth Is Marching On: John Lewis and the Power of Hope,"October 13, 2020",Jon Meacham,History,4.5,"6,276",354,1423,English,"1,627",21.7k
Nineteen Claws and a Black Bird,"August 1, 2020",Agustina Bazterrica,Horror,3.13,"13,265",193,1423,English,"1,322",41.9k
"War Fever: Boston, Baseball, and America in the Shadow of the Great War","March 24, 2020",Randy W. Roberts,Sports,3.93,268,368,1423,English,27,401
Cutie and the Beast,"April 7, 2020",M.E. Carter,Romance,3.7,"1,452",306,1427,English,228,"1,209"
From the Desk of Zoe Washington,"January 14, 2020",Janae Marks,Middle Grade,4.29,"13,462",291,1427,English,629,17.1k
"Die, Vol. 2: Split the Party","February 11, 2020",Kieron Gillen,Comics,3.97,"3,382",168,1427,English,103,759
Close Up,"May 5, 2020",Amanda Quick,Romance,4.01,"6,250",441,1427,English,"1,136","2,639"
A Measure of Belonging: Writers of Color on the New American South,"October 6, 2020",Cinelle Barnes,Essays,4.28,341,163,1431,English,41,"2,041"
Marguerite,"March 24, 2020",Marina Kemp,Fiction,3.88,"1,033",320,1431,English,90,"1,554"
The Revelators,"July 14, 2020",Ace Atkins,Mystery,4.23,"2,126",300,1433,English,612,"1,070"
Before the Ever After,"September 1, 2020",Jacqueline Woodson,Middle Grade,4.18,"15,185",176,1433,English,285,23k
Escape Pod: The Science Fiction Anthology,"October 20, 2020",Mur Lafferty,Short Stories,3.93,439,336,1433,English,135,650
City of Margins,"March 3, 2020",William Boyle,,3.84,577,320,1433,English,112,"2,392"
The Light After the War,"February 4, 2020",Anita Abriel,Historical Fiction,3.86,"4,581",,1437,English,582,"9,030"
The Rising,"February 25, 2020",Kristen Ashley,Fantasy,4.31,"3,393",499,1437,English,486,"1,587"
We Dream of Space,"May 5, 2020",Erin Entrada Kelly,Middle Grade,4.11,"8,018",400,1437,English,782,16.4k
Trans-Galactic Bike Ride: Feminist Bicycle Science Fiction Stories of Transgender and Nonbinary Adventurers,"December 8, 2020",Lydia Rogue,Short Stories,4.12,250,142,1437,English,15,808
